name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
BMW 3 Series 320d Sport Line,2013,1550000,75800,Diesel,Dealer,Automatic,Second Owner
BMW X1 sDrive 20d xLine,2017,2750000,13000,Diesel,Individual,Automatic,First Owner
BMW 7 Series 730Ld,2012,2500000,48000,Diesel,Dealer,Automatic,First Owner
BMW 5 Series 520d Luxury Line,2017,2900000,40000,Diesel,Individual,Automatic,First Owner
BMW 3 Series 320d Sport,2013,2000000,167223,Diesel,Dealer,Automatic,First Owner
BMW X1 sDrive 20d Exclusive,2011,1375000,60000,Diesel,Individual,Automatic,First Owner
BMW 3 Series 320d Luxury Line,2016,2150000,43000,Diesel,Dealer,Automatic,First Owner
BMW X5 xDrive 30d xLine,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner
BMW X5 xDrive 30d xLine,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner
BMW X5 xDrive 30d xLine,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner
BMW X5 xDrive 30d xLine,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner
BMW X5 xDrive 30d xLine,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner
BMW X5 xDrive 30d xLine,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner
BMW 7 Series Signature 730Ld,2014,4000000,47000,Diesel,Individual,Automatic,First Owner
BMW 3 Series 320d Sport,2013,1490000,40000,Diesel,Dealer,Automatic,First Owner
BMW X5 xDrive 30d xLine,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner
BMW 3 Series GT Luxury Line,2017,3050000,30000,Diesel,Individual,Automatic,First Owner
BMW X1 sDrive 20d xLine,2017,2400000,30000,Diesel,Individual,Automatic,First Owner
BMW X1 sDrive20d M Sport,2014,1485000,48000,Diesel,Dealer,Automatic,First Owner
BMW X1 sDrive 20d xLine,2019,2600000,9500,Diesel,Individual,Automatic,First Owner
BMW X5 xDrive 30d xLine,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner
BMW X5 xDrive 30d xLine,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner
BMW X5 xDrive 30d xLine,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner
BMW 7 Series 730Ld,2006,1050000,30000,Diesel,Dealer,Automatic,First Owner
BMW 7 Series 730Ld,2011,1700000,100000,Diesel,Individual,Automatic,Second Owner
BMW X1 sDrive 20d xLine,2017,2750000,13000,Diesel,Individual,Automatic,First Owner
BMW X1 sDrive20d,2011,890000,86000,Diesel,Individual,Automatic,Second Owner
BMW X1 sDrive 20d xLine,2019,2600000,9500,Diesel,Individual,Automatic,First Owner
BMW X5 xDrive 30d xLine,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner
BMW X1 sDrive20d,2012,700000,120000,Diesel,Individual,Automatic,Second Owner
BMW 3 Series 320d Luxury Line,2015,2200000,24000,Diesel,Individual,Automatic,First Owner
BMW 5 Series 525d Sedan,2009,1200000,45000,Diesel,Individual,Automatic,Third Owner
BMW 5 Series 530i,2006,480000,110000,Petrol,Individual,Automatic,Second Owner
BMW 5 Series 520d Luxury Line,2017,2900000,40000,Diesel,Individual,Automatic,First Owner
BMW 5 Series 520d Luxury Line,2018,4800000,9422,Diesel,Individual,Automatic,First Owner
BMW X1 sDrive20d,2012,750000,100000,Diesel,Individual,Automatic,Second Owner
BMW 3 Series 320d Luxury Line,2018,2300000,39000,Diesel,Individual,Automatic,First Owner
BMW 5 Series 520d Luxury Line,2019,4800000,12999,Diesel,Dealer,Automatic,First Owner
BMW 7 Series 730Ld,2006,1050000,30000,Diesel,Dealer,Automatic,First Owner
