name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner
Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner
Datsun RediGO 1.0 S,2017,210000,15000,Petrol,Dealer,Manual,Second Owner
Datsun GO Plus T Option Petrol,2018,434999,10000,Petrol,Individual,Manual,First Owner
Datsun GO A,2015,250000,40000,Petrol,Individual,Manual,Second Owner
Datsun GO Plus A,2015,315000,45000,Petrol,Individual,Manual,Second Owner
Datsun GO Plus T Option BSIV,2018,270000,19000,Petrol,Individual,Manual,Second Owner
Datsun RediGO T Option,2017,210000,50000,Petrol,Individual,Manual,First Owner
Datsun GO T Petrol,2015,310000,32686,Petrol,Dealer,Manual,First Owner
Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner
Datsun GO Plus T Option BSIV,2017,375000,20000,Petrol,Individual,Manual,Second Owner
Datsun RediGO T Option,2017,220000,40000,Petrol,Individual,Manual,First Owner
Datsun redi-GO AMT 1.0 T Option,2018,290000,15000,Petrol,Dealer,Automatic,First Owner
Datsun GO Plus T Option Petrol,2018,434999,10000,Petrol,Individual,Manual,First Owner
Datsun RediGO S,2016,270000,22000,Petrol,Individual,Manual,First Owner
Datsun RediGO T Option,2017,200000,30000,Petrol,Individual,Manual,First Owner
Datsun RediGO 1.0 T Option,2018,375000,2769,Petrol,Dealer,Manual,First Owner
Datsun GO Plus A,2015,315000,45000,Petrol,Individual,Manual,Second Owner
Datsun GO T Petrol,2015,225000,92198,Petrol,Dealer,Manual,Second Owner
Datsun RediGO S,2016,270000,22000,Petrol,Individual,Manual,First Owner
Datsun GO Plus T BSIV,2015,380000,25000,Petrol,Individual,Manual,First Owner
Datsun GO Plus A Option Petrol,2018,450000,10000,Petrol,Individual,Manual,Second Owner
Datsun GO Plus T,2017,350000,10171,Petrol,Dealer,Manual,First Owner
Datsun RediGO 1.0 S,2017,210000,15000,Petrol,Dealer,Manual,Second Owner
Datsun GO Plus Remix Limited Edition,2016,300000,35000,Petrol,Individual,Manual,First Owner
Datsun RediGO SV 1.0,2019,350000,1300,Petrol,Individual,Manual,First Owner
Datsun GO T BSIV,2014,280000,40000,Petrol,Individual,Manual,First Owner
Datsun GO T Option BSIV,2015,210000,25000,Petrol,Individual,Manual,First Owner
Datsun GO T BSIV,2014,250000,58000,Petrol,Individual,Manual,First Owner
Datsun RediGO T Option,2016,229999,37500,Petrol,Individual,Manual,Second Owner
Datsun GO Plus T Option BSIV,2015,295000,21000,Petrol,Individual,Manual,First Owner
Datsun RediGO 1.0 S,2017,250000,15000,Petrol,Individual,Manual,First Owner
Datsun GO Plus T BSIV,2018,400000,4400,Petrol,Individual,Manual,Second Owner
Datsun RediGO AMT 1.0 S,2018,300000,25000,Petrol,Individual,Automatic,First Owner
Datsun GO T Petrol,2015,310000,32686,Petrol,Dealer,Manual,First Owner
Datsun GO Plus T Option,2017,350000,80000,Petrol,Individual,Manual,First Owner
Datsun GO Plus T,2017,350000,10171,Petrol,Dealer,Manual,First Owner
