name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Fiat Avventura MULTIJET Emotion,2015,350000,53000,Diesel,Individual,Manual,Second Owner
Fiat Linea T Jet Emotion,2018,890000,1136,Petrol,Dealer,Manual,First Owner
Fiat Avventura Urban Cross 1.3 Multijet Emotion,2018,650000,38083,Diesel,Dealer,Manual,First Owner
Fiat Punto 1.3 Emotion,2013,350000,160254,Diesel,Dealer,Manual,Second Owner
Fiat Grande Punto 1.3 Dynamic (Diesel),2012,185000,100000,Diesel,Individual,Manual,Second Owner
Fiat Palio D 1.9 EL PS,2003,55000,35000,Diesel,Individual,Manual,Second Owner
Fiat Linea Classic 1.3 Multijet,2015,350000,130000,Diesel,Individual,Manual,First Owner
Fiat Grande Punto EVO 1.3 Dynamic,2014,325000,70000,Diesel,Individual,Manual,First Owner
Fiat Linea Dynamic,2013,350000,70000,Petrol,Individual,Manual,First Owner
Fiat Linea Dynamic,2013,350000,70000,Petrol,Individual,Manual,First Owner
Fiat Grande Punto EVO 1.3 Active,2014,260000,50000,Diesel,Individual,Manual,First Owner
Fiat Grande Punto EVO 1.3 Active,2014,260000,50000,Diesel,Individual,Manual,First Owner
Fiat Punto 1.2 Active,2010,80000,50000,Petrol,Individual,Manual,Second Owner
Fiat 500 Lounge,2008,250999,110000,Diesel,Individual,Manual,First Owner
Fiat Grande Punto EVO 1.3 Active,2014,270000,120000,Diesel,Individual,Manual,Second Owner
Fiat Linea 1.3 Multijet Emotion,2015,550000,113600,Diesel,Individual,Manual,First Owner
Fiat Avventura MULTIJET Emotion,2015,350000,53000,Diesel,Individual,Manual,Second Owner
Fiat Grande Punto Active (Diesel),2009,125000,95000,Diesel,Individual,Manual,Second Owner
Fiat Grande Punto Active (Diesel),2009,125000,95000,Diesel,Individual,Manual,Second Owner
Fiat Punto 1.3 Active,2010,99000,80000,Diesel,Individual,Manual,Second Owner
Fiat Linea Emotion,2010,170000,100000,Petrol,Individual,Manual,First Owner
Fiat Linea 1.3 Emotion,2010,221000,65000,Diesel,Dealer,Manual,First Owner
Fiat Grande Punto 1.3 Dynamic (Diesel),2010,150000,63000,Diesel,Individual,Manual,Third Owner
Fiat Linea T Jet Plus,2011,500000,20000,Petrol,Individual,Manual,First Owner
Fiat Linea Active (Diesel),2011,190000,80000,Diesel,Individual,Manual,Third Owner
Fiat Punto 1.4 Emotion,2010,165000,100000,Petrol,Individual,Manual,Fourth & Above Owner
Fiat Grande Punto EVO 90HP 1.3 Sport,2014,250000,90000,Diesel,Individual,Manual,First Owner
Fiat Grande Punto Emotion 90Hp,2013,250000,80000,Diesel,Individual,Manual,First Owner
Fiat Linea 1.3 Emotion,2014,221000,131365,Diesel,Individual,Manual,First Owner
Fiat Linea T Jet Emotion,2010,215000,90000,Petrol,Individual,Manual,Second Owner
Fiat Palio 1.2 Sport,2007,125000,50000,Petrol,Individual,Manual,Second Owner
Fiat Punto EVO 1.3 Dynamic,2016,500000,35000,Diesel,Individual,Manual,First Owner
Fiat Punto 1.3 Emotion,2010,285000,75000,Diesel,Individual,Manual,Third Owner
Fiat Linea T Jet Emotion,2010,215000,90000,Petrol,Individual,Manual,Second Owner
Fiat Linea Emotion (Diesel),2011,225000,60000,Diesel,Individual,Manual,First Owner
Fiat Punto EVO 1.3 Emotion,2017,450000,70000,Diesel,Individual,Manual,First Owner
Fiat Punto 1.3 Emotion,2010,130000,210000,Diesel,Individual,Manual,Second Owner
