name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Ford EcoSport 1.5 Diesel Titanium BSIV,2017,925000,35000,Diesel,Individual,Manual,First Owner
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,530000,14272,Petrol,Dealer,Manual,First Owner
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,840000,49213,Diesel,Dealer,Manual,First Owner
Ford Figo Diesel Titanium,2010,170000,90000,Diesel,Individual,Manual,Third Owner
Ford Figo Diesel Titanium,2011,190000,90000,Diesel,Individual,Manual,Third Owner
Ford Figo Petrol Titanium,2014,350000,43000,Petrol,Dealer,Manual,First Owner
Ford Figo Petrol Titanium,2015,300000,50000,Petrol,Individual,Manual,Second Owner
Ford Fiesta Classic 1.4 SXI Duratorq,2006,110000,120000,Diesel,Individual,Manual,Third Owner
Ford Figo Aspire 1.2 Ti-VCT Trend,2017,530000,10832,Petrol,Dealer,Manual,First Owner
Ford Figo Aspire Facelift,2018,624000,14681,Diesel,Dealer,Manual,First Owner
Ford Aspire Titanium Diesel BSIV,2017,700000,21170,Diesel,Dealer,Manual,First Owner
Ford Figo Aspire 1.5 TDCi Titanium,2017,700000,88635,Diesel,Dealer,Manual,First Owner
Ford Endeavour Titanium 4X2,2011,600000,149674,Diesel,Dealer,Manual,Second Owner
Ford Figo Diesel Celebration Edition,2013,150000,80000,Diesel,Individual,Manual,Second Owner
Ford Fiesta 1.6 ZXi Duratec,2007,190000,60000,Petrol,Individual,Manual,Third Owner
Ford Ecosport 1.5 DV5 MT Titanium,2014,500000,49000,Diesel,Individual,Manual,First Owner
Ford Endeavour 2.5L 4X2 MT,2008,400000,110000,Diesel,Individual,Manual,Third Owner
Ford Endeavour 2.5L 4X2 MT,2011,550000,54000,Diesel,Individual,Manual,Second Owner
Ford Figo Petrol Titanium,2011,120000,60000,Petrol,Individual,Manual,Third Owner
Ford Endeavour 4x4 XLT,2004,275000,22288,Diesel,Dealer,Manual,Second Owner
Ford Figo Diesel Titanium,2011,220000,70000,Diesel,Individual,Manual,Second Owner
Ford Figo 1.2P Ambiente MT,2015,229999,45000,Petrol,Individual,Manual,First Owner
Ford Figo Diesel ZXI,2011,175000,149000,Diesel,Individual,Manual,Second Owner
Ford Figo 1.2P Titanium MT,2019,700000,12586,Petrol,Dealer,Manual,First Owner
Ford Figo Diesel ZXI,2012,400000,55328,Diesel,Dealer,Manual,First Owner
