name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner
Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner
Honda City V MT,2018,930000,14500,Petrol,Dealer,Manual,First Owner
Honda City i DTEC V,2014,560000,74000,Diesel,Individual,Manual,Second Owner
Honda City i DTEC VX,2014,675000,90000,Diesel,Dealer,Manual,First Owner
Honda Civic 1.8 V AT,2007,200000,54000,Petrol,Individual,Automatic,Second Owner
Honda Amaze S i-VTEC,2016,495000,11958,Petrol,Dealer,Manual,First Owner
Honda Brio S MT,2015,371000,20000,Petrol,Dealer,Manual,First Owner
Honda Civic 1.8 V AT,2009,210000,63500,Petrol,Dealer,Automatic,First Owner
Honda Amaze S i-Vtech,2016,490000,50000,Petrol,Individual,Manual,First Owner
Honda City i VTEC SV,2014,620000,36000,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,2013,500000,30000,Diesel,Individual,Manual,First Owner
Honda Brio E MT,2013,260000,70000,Petrol,Individual,Manual,Second Owner
Honda City 1.5 EXI,2005,100000,120000,Petrol,Individual,Manual,Second Owner
Honda Mobilio V i DTEC,2014,300000,150000,Diesel,Individual,Manual,First Owner
Honda Mobilio V i DTEC,2014,300000,150000,Diesel,Individual,Manual,First Owner
Honda Jazz S,2009,300000,50000,Petrol,Individual,Manual,First Owner
Honda Brio 1.2 E MT,2017,350000,20000,Petrol,Individual,Manual,First Owner
Honda City i-DTEC SV,2014,495000,80000,Diesel,Dealer,Manual,First Owner
Honda Brio 1.2 VX MT,2018,475000,20000,Petrol,Individual,Manual,First Owner
Honda Brio 1.2 VX MT,2018,475000,22000,Petrol,Individual,Manual,First Owner
Honda City i-DTEC V,2017,1044999,25000,Diesel,Individual,Manual,First Owner
Honda Brio E MT,2012,300000,85962,Petrol,Dealer,Manual,Second Owner
Honda Mobilio V i DTEC,2015,600000,120000,Diesel,Individual,Manual,First Owner
Honda Brio S Option AT,2012,285000,75000,Petrol,Individual,Automatic,Second Owner
Honda Accord 2.4 MT,2009,350000,57035,Petrol,Dealer,Manual,First Owner
Honda Mobilio V i DTEC,2014,600000,44000,Diesel,Individual,Manual,First Owner
Honda BR-V i-VTEC S MT,2018,900000,5000,Petrol,Individual,Manual,First Owner
Honda WR-V i-DTEC V,2019,900000,60000,Diesel,Individual,Manual,First Owner
Honda City i DTEC S,2014,520000,82000,Diesel,Individual,Manual,First Owner
Honda Amaze EX i-Dtech,2013,325000,65000,Diesel,Dealer,Manual,First Owner
Honda Brio V MT,2014,425000,29654,Petrol,Trustmark Dealer,Manual,First Owner
Honda City i VTEC V,2015,775000,66521,Petrol,Trustmark Dealer,Manual,First Owner
Honda Civic 1.8 MT Sport,2007,225000,55000,Petrol,Individual,Manual,Second Owner
Honda Amaze S AT i-Vtech,2015,450000,7900,Petrol,Individual,Automatic,First Owner
Honda City 1.5 V AT,2011,311000,70000,Petrol,Individual,Automatic,Second Owner
Honda Jazz VX,2018,600000,20000,Petrol,Individual,Manual,First Owner
Honda Amaze SX i-VTEC,2016,600000,10000,Petrol,Individual,Manual,First Owner
Honda City i VTEC V,2016,639000,28205,Petrol,Dealer,Manual,First Owner
Honda Brio S MT,2015,350000,34823,Petrol,Dealer,Manual,Second Owner
Honda Amaze EX i-Dtech,2014,409999,56541,Diesel,Dealer,Manual,First Owner
Honda City i DTec SV,2014,600000,27483,Diesel,Dealer,Manual,First Owner
Honda WR-V i-VTEC VX,2018,875000,1440,Petrol,Individual,Manual,First Owner
Honda Amaze VX O iDTEC,2017,550000,12997,Diesel,Dealer,Manual,First Owner
Honda Brio 1.2 S MT,2017,400000,15000,Petrol,Individual,Manual,First Owner
Honda Mobilio V i VTEC,2015,600000,45000,Petrol,Individual,Manual,First Owner
Honda City VX MT,2010,350000,48781,Petrol,Dealer,Manual,First Owner
Honda Jazz VX,2011,385000,11473,Petrol,Dealer,Manual,First Owner
Honda Mobilio E i DTEC,2017,660000,116000,Diesel,Individual,Manual,First Owner
Honda Brio 1.2 S MT,2017,400000,15000,Petrol,Individual,Manual,First Owner
Honda City i-VTEC CVT ZX,2018,1140000,23038,Petrol,Trustmark Dealer,Automatic,First Owner
Honda City VTEC,2003,310000,90000,Petrol,Individual,Manual,Fourth & Above Owner
Honda Jazz 1.5 VX i DTEC,2018,790000,19571,Diesel,Dealer,Manual,First Owner
Honda City i-VTEC ZX,2018,1200000,29600,Petrol,Dealer,Manual,First Owner
Honda Amaze VX Diesel BSIV,2018,780000,25000,Diesel,Dealer,Manual,First Owner
Honda Amaze VX Petrol BSIV,2018,690000,39000,Petrol,Dealer,Manual,First Owner
Honda Amaze VX Diesel BSIV,2018,790000,49000,Diesel,Dealer,Manual,First Owner
Honda Amaze VX i-VTEC,2018,680000,48600,Petrol,Dealer,Manual,First Owner
Honda City i-VTEC SV,2014,690000,17000,Petrol,Dealer,Manual,First Owner
Honda City i DTEC VX,2014,520000,110000,Diesel,Individual,Manual,First Owner
Honda City S,2012,320000,50000,Petrol,Individual,Manual,Second Owner
Honda Amaze S i-Dtech,2015,475000,110000,Diesel,Individual,Manual,First Owner
Honda Jazz 1.5 VX i DTEC,2015,450000,38000,Diesel,Individual,Manual,First Owner
Honda Amaze V CVT Petrol BSIV,2018,725000,26000,Petrol,Dealer,Automatic,First Owner
Honda Amaze S i-Dtech,2013,315000,127884,Diesel,Dealer,Manual,First Owner
Honda Amaze S i-Dtech,2015,300000,66755,Diesel,Dealer,Manual,First Owner
Honda City E,2013,380000,123084,Petrol,Dealer,Manual,First Owner
Honda Amaze S i-Dtech,2013,310000,95851,Diesel,Dealer,Manual,First Owner
Honda Jazz VX CVT,2016,580000,32000,Petrol,Dealer,Automatic,First Owner
Honda City 1.5 EXI,2004,180000,200000,Petrol,Individual,Manual,Second Owner
Honda City i DTEC SV,2014,725000,110000,Diesel,Individual,Manual,First Owner
Honda Civic 1.8 (E) MT,2006,300000,80000,Petrol,Individual,Manual,Second Owner
Honda City 1.5 V MT,2010,350000,115000,Petrol,Individual,Manual,Second Owner
Honda WR-V i-DTEC VX,2018,800000,35000,Diesel,Individual,Manual,First Owner
Honda Amaze S CVT Petrol,2019,610000,10000,Petrol,Individual,Automatic,First Owner
Honda Brio S MT,2013,240000,50000,Petrol,Individual,Manual,Third Owner
Honda Jazz 1.5 E i DTEC,2017,700000,39000,Diesel,Individual,Manual,First Owner
Honda City 1.5 GXI,2004,125000,120000,Petrol,Individual,Manual,Second Owner
Honda CR-V Diesel 4WD,2018,1800000,26000,Diesel,Individual,Automatic,First Owner
Honda Jazz V,2019,650000,4000,Petrol,Individual,Manual,First Owner
Honda Amaze S Diesel,2015,400000,60000,Diesel,Dealer,Manual,First Owner
Honda City i-VTEC CVT VX,2016,750000,45000,Petrol,Dealer,Automatic,First Owner
Honda Brio VX,2017,390000,45000,Petrol,Dealer,Manual,First Owner
Honda City i-DTEC SV,2014,495000,80000,Diesel,Dealer,Manual,First Owner
Honda City i VTEC V,2014,530000,50000,Petrol,Individual,Manual,First Owner
Honda Mobilio S i DTEC,2016,680000,50000,Diesel,Individual,Manual,First Owner
Honda City V MT,2012,700000,10000,Petrol,Individual,Manual,First Owner
Honda City i VTEC V,2016,500000,20000,Petrol,Individual,Manual,First Owner
Honda Brio 1.2 S Option MT,2019,484999,9000,Petrol,Individual,Manual,First Owner
Honda City i DTEC S,2014,700000,90000,Diesel,Individual,Manual,Second Owner
Honda Amaze VX i-DTEC,2013,325000,94000,Diesel,Individual,Manual,Second Owner
Honda Civic 1.8 S AT,2006,125000,70000,Petrol,Individual,Automatic,First Owner
Honda Civic 1.8 S MT,2007,229999,70000,Petrol,Individual,Manual,Second Owner
Honda City i-VTEC VX,2017,950000,35000,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,2013,450000,53000,Diesel,Individual,Manual,First Owner
Honda Amaze S AT i-Vtech,2014,400000,15000,Petrol,Individual,Automatic,First Owner
Honda City Corporate Edition,2013,495000,45241,Petrol,Dealer,Manual,First Owner
Honda Civic 1.8 S MT,2007,170000,70000,Petrol,Individual,Manual,Third Owner
Honda Accord VTi-L (MT),2007,200000,80000,Petrol,Individual,Manual,Second Owner
Honda City 1.5 EXI S,2004,105000,100000,Petrol,Individual,Manual,Third Owner
Honda Amaze E i-VTEC,2016,330000,50000,Petrol,Individual,Manual,Second Owner
Honda WR-V i-DTEC VX,2017,725000,30000,Diesel,Individual,Manual,First Owner
Honda Brio S MT,2012,285000,39039,Petrol,Dealer,Manual,First Owner
Honda Brio Exclusive Edition,2014,335000,33033,Petrol,Dealer,Manual,First Owner
Honda WR-V i-DTEC VX,2017,650000,140000,Diesel,Individual,Manual,First Owner
Honda Civic 1.8 S MT,2006,220000,120000,Petrol,Individual,Manual,Third Owner
Honda BR-V i-VTEC VX MT,2020,1250000,1100,Petrol,Dealer,Manual,First Owner
Honda Amaze S i-Dtech,2013,349000,120000,Diesel,Individual,Manual,First Owner
Honda Brio V MT,2014,425000,29654,Petrol,Trustmark Dealer,Manual,First Owner
Honda City i VTEC V,2015,775000,66521,Petrol,Trustmark Dealer,Manual,First Owner
Honda Brio 1.2 S MT,2016,350000,63400,Petrol,Individual,Manual,First Owner
Honda City i-VTEC VX,2018,1150000,14825,Petrol,Dealer,Manual,First Owner
Honda BR-V i-DTEC VX MT,2016,910000,43377,Diesel,Dealer,Manual,First Owner
Honda Jazz 1.5 VX i DTEC,2018,790000,19571,Diesel,Dealer,Manual,First Owner
Honda City 1.3 EXI,2002,145000,100000,Petrol,Individual,Manual,First Owner
Honda City i-VTEC ZX,2018,1200000,29600,Petrol,Dealer,Manual,First Owner
Honda City 1.5 V AT,2008,140000,70000,Petrol,Individual,Automatic,First Owner
Honda City i DTec SV,2014,450000,40000,Diesel,Dealer,Manual,First Owner
Honda BRV i-VTEC V MT,2017,600000,43500,Petrol,Individual,Manual,First Owner
Honda Jazz 1.5 VX i DTEC,2018,790000,19571,Diesel,Dealer,Manual,First Owner
Honda City i-VTEC ZX,2018,1200000,29600,Petrol,Dealer,Manual,First Owner
Honda Amaze VX Diesel BSIV,2018,780000,25000,Diesel,Dealer,Manual,First Owner
Honda Amaze VX Petrol BSIV,2018,690000,39000,Petrol,Dealer,Manual,First Owner
Honda Amaze VX Diesel BSIV,2018,790000,49000,Diesel,Dealer,Manual,First Owner
Honda Amaze VX i-VTEC,2018,680000,48600,Petrol,Dealer,Manual,First Owner
Honda City i-VTEC CVT ZX,2018,1225000,22000,Petrol,Dealer,Automatic,First Owner
Honda Jazz Select Edition Active,2010,285000,60000,Petrol,Dealer,Manual,Second Owner
Honda City i-VTEC VX,2018,1000000,28635,Petrol,Dealer,Manual,First Owner
Honda Amaze VX Diesel BSIV,2018,780000,32114,Diesel,Dealer,Manual,First Owner
Honda Amaze VX i-VTEC,2018,625000,68458,Petrol,Dealer,Manual,First Owner
Honda City i DTEC V,2014,515000,90000,Diesel,Individual,Manual,Second Owner
Honda City 1.5 S MT,2011,310000,110000,Petrol,Individual,Manual,First Owner
Honda City i DTEC VX,2014,700000,130000,Diesel,Individual,Manual,First Owner
Honda Amaze E i-Dtech,2015,300000,104000,Diesel,Individual,Manual,Second Owner
Honda City 1.3 EXI,2003,120000,132343,Petrol,Individual,Manual,Second Owner
Honda Jazz 1.5 SV i DTEC,2015,450000,76000,Diesel,Individual,Manual,First Owner
Honda Amaze VX O iDTEC,2017,550000,12997,Diesel,Dealer,Manual,First Owner
Honda City i DTEC VX,2014,600000,50000,Diesel,Individual,Manual,First Owner
Honda WR-V i-DTEC VX,2018,700000,30000,Diesel,Individual,Manual,First Owner
Honda City i VTEC V,2016,696000,138925,Petrol,Dealer,Manual,First Owner
Honda Jazz 1.5 VX i DTEC,2016,596000,121764,Diesel,Dealer,Manual,First Owner
Honda Jazz 1.2 VX i VTEC,2016,612000,105429,Petrol,Dealer,Manual,First Owner
Honda Amaze S i-VTEC,2016,495000,11958,Petrol,Dealer,Manual,First Owner
Honda Civic 1.8 V AT,2009,210000,63500,Petrol,Dealer,Automatic,First Owner
Honda Amaze EX i-Dtech,2013,350000,90000,Diesel,Individual,Manual,Second Owner
Honda City i DTEC VX,2014,600000,90000,Diesel,Individual,Manual,Second Owner
Honda City 1.5 E MT,2010,400000,50000,Petrol,Individual,Manual,First Owner
Honda City 1.5 V MT,2009,250000,70000,Petrol,Individual,Manual,Third Owner
Honda City 1.5 V AT Exclusive,2008,210000,77000,Petrol,Individual,Automatic,Third Owner
Honda City 1.5 S MT,2010,254999,90000,Petrol,Individual,Manual,Second Owner
Honda City 1.5 S MT,2011,395000,70000,Petrol,Individual,Manual,Second Owner
Honda Amaze SX i-VTEC,2015,500000,70000,Petrol,Individual,Manual,First Owner
Honda Jazz 1.5 VX i DTEC,2017,700000,24585,Diesel,Dealer,Manual,Test Drive Car
Honda Amaze EX i-Dtech,2015,290000,40000,Diesel,Individual,Manual,Third Owner
Honda Brio S MT,2015,300000,50000,Petrol,Individual,Manual,First Owner
Honda Amaze E i-VTEC,2017,430000,15000,Petrol,Individual,Manual,First Owner
Honda Amaze E i-DTEC,2017,370000,80000,Diesel,Individual,Manual,First Owner
