name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Renault Duster 85PS Diesel RxL Optional,2013,600000,120000,Diesel,Individual,Manual,First Owner
Renault KWID RXT,2017,315000,16000,Petrol,Individual,Manual,First Owner
Renault KWID RXT,2017,350000,25000,Petrol,Individual,Manual,First Owner
Renault KWID RXT,2016,225000,25000,Petrol,Individual,Manual,First Owner
Renault Duster 110PS Diesel RxZ,2013,320000,90000,Diesel,Individual,Manual,Second Owner
Renault Duster 110PS Diesel RxZ,2012,434999,110000,Diesel,Individual,Manual,Second Owner
Renault Scala RxL,2013,365000,55000,Petrol,Dealer,Manual,First Owner
Renault KWID RXT,2018,360000,26500,Petrol,Individual,Manual,First Owner
Renault Duster 110PS Diesel RxL,2015,800000,15000,Diesel,Individual,Manual,First Owner
Renault Duster 110PS Diesel RxZ,2012,350000,110000,Diesel,Individual,Manual,Second Owner
Renault KWID RXT Optional,2017,270000,40000,Petrol,Individual,Manual,First Owner
Renault KWID 1.0 RXT Optional,2018,325000,35000,Petrol,Individual,Manual,First Owner
Renault Duster 85PS Diesel RxE,2013,400000,75976,Diesel,Dealer,Manual,Second Owner
Renault KWID 1.0 RXT Optional,2017,390000,30000,Petrol,Individual,Manual,First Owner
Renault Duster 85PS Diesel RxL,2014,400000,120000,Diesel,Individual,Manual,First Owner
Renault Duster 110PS Diesel RxZ,2012,490000,100000,Diesel,Individual,Manual,First Owner
Renault KWID RXT,2015,275000,14365,Petrol,Dealer,Manual,First Owner
Renault Duster 110PS Diesel RxL,2014,525000,65000,Diesel,Dealer,Manual,First Owner
Renault Pulse RxL,2015,390000,61585,Diesel,Trustmark Dealer,Manual,First Owner
Renault Duster 85PS Diesel RxL,2013,450000,1000,Diesel,Dealer,Manual,Second Owner
Renault Duster 85PS Diesel RxL,2013,450000,1000,Diesel,Dealer,Manual,Second Owner
Renault Duster 85PS Diesel RxL,2013,450000,1000,Diesel,Dealer,Manual,Second Owner
Renault Duster 85PS Diesel RxL,2013,450000,1000,Diesel,Dealer,Manual,Second Owner
Renault Duster 85PS Diesel RxL,2015,650000,100000,Diesel,Individual,Manual,First Owner
Renault Lodgy 85PS RxL,2017,700000,60000,Diesel,Individual,Manual,First Owner
Renault KWID Climber 1.0 AMT BSIV,2017,350000,7658,Petrol,Dealer,Automatic,First Owner
Renault KWID RXL BSIV,2017,325000,18500,Petrol,Dealer,Manual,First Owner
Renault KWID RXL,2016,220000,60000,Petrol,Individual,Manual,Third Owner
Renault Duster 110PS Diesel RxZ,2013,450000,120000,Diesel,Individual,Manual,First Owner
Renault KWID 1.0 RXT Optional,2018,300000,10500,Petrol,Individual,Manual,First Owner
