name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Skoda Superb Ambition 2.0 TDI CR AT,2011,450000,130400,Diesel,Dealer,Automatic,Second Owner
Skoda Rapid 1.5 TDI Elegance,2014,450000,120000,Diesel,Individual,Manual,Second Owner
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,640000,23000,Petrol,Individual,Manual,First Owner
Skoda Rapid 1.5 TDI Ambition BSIV,2018,940000,2650,Diesel,Dealer,Manual,First Owner
Skoda Fabia 1.2L Diesel Ambiente,2010,180000,87000,Diesel,Dealer,Manual,Second Owner
Skoda Yeti Ambition 4WD,2011,350000,80000,Diesel,Individual,Manual,First Owner
Skoda Rapid 1.5 TDI AT Style BSIV,2017,860000,82080,Diesel,Individual,Automatic,First Owner
Skoda Laura L n K 1.9 PD,2006,350000,100000,Diesel,Individual,Manual,First Owner
Skoda Laura Ambiente 2.0 TDI CR MT,2012,385000,52000,Diesel,Dealer,Manual,First Owner
Skoda Laura Ambiente 2.0 TDI CR MT,2012,385000,52000,Diesel,Dealer,Manual,First Owner
Skoda Laura Ambiente 2.0 TDI CR MT,2012,385000,52000,Diesel,Dealer,Manual,First Owner
Skoda Laura Ambiente 2.0 TDI CR MT,2012,385000,52000,Diesel,Dealer,Manual,First Owner
Skoda Rapid 1.6 MPI AT Elegance Plus,2015,600000,70000,Petrol,Individual,Automatic,First Owner
Skoda Octavia Classic 1.9 TDI MT,2004,120000,120000,Diesel,Individual,Manual,Second Owner
Skoda Rapid 1.6 MPI Active,2012,269000,52547,Petrol,Dealer,Manual,First Owner
Skoda Superb 1.8 TSI,2013,599000,61624,Petrol,Dealer,Automatic,Second Owner
Skoda Laura Ambiente 2.0 TDI CR MT,2012,385000,52000,Diesel,Dealer,Manual,First Owner
Skoda Laura Ambiente 2.0 TDI CR MT,2012,385000,52000,Diesel,Dealer,Manual,First Owner
Skoda Rapid 1.5 TDI AT Ambition,2015,599000,46957,Diesel,Dealer,Automatic,First Owner
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,640000,23000,Petrol,Individual,Manual,First Owner
Skoda Laura Elegance 1.9 TDI  AT,2010,400000,130000,Diesel,Individual,Automatic,Second Owner
Skoda Octavia Elegance 2.0 TDI AT,2014,1200000,135000,Diesel,Individual,Automatic,Third Owner
Skoda Yeti Ambition 4X2,2012,650000,85000,Diesel,Individual,Manual,Second Owner
Skoda Superb Elegance 2.0 TDI CR AT,2009,355000,100000,Diesel,Individual,Automatic,Second Owner
Skoda Superb Elegance 2.0 TDI CR AT,2015,1000000,80000,Diesel,Individual,Automatic,Second Owner
Skoda Superb Elegance 2.0 TDI CR AT,2011,450000,235000,Diesel,Individual,Automatic,First Owner
Skoda Laura Ambiente 2.0 TDI CR MT,2012,385000,52000,Diesel,Dealer,Manual,First Owner
Skoda Superb Ambition 2.0 TDI CR AT,2013,675000,88000,Diesel,Dealer,Automatic,First Owner
Skoda Laura Ambiente 1.9 PD,2007,175000,181000,Diesel,Individual,Manual,Fourth & Above Owner
Skoda Laura 1.9 TDI MT Ambiente,2010,360000,160000,Diesel,Individual,Manual,First Owner
Skoda Rapid 1.6 TDI Elegance,2012,275000,120000,Diesel,Individual,Manual,Second Owner
Skoda Laura 1.9 TDI MT Ambiente,2009,200000,100000,Diesel,Individual,Manual,Third Owner
Skoda Fabia 1.2 MPI Ambition Plus,2012,300000,50000,Petrol,Individual,Manual,First Owner
Skoda Laura Ambiente 2.0 TDI CR MT,2012,385000,52000,Diesel,Dealer,Manual,First Owner
Skoda Rapid 1.5 TDI AT Ambition BSIV,2017,750000,40000,Diesel,Individual,Automatic,First Owner
Skoda Superb 1.8 TFSI MT,2010,300000,80000,Petrol,Individual,Manual,First Owner
Skoda Laura L n K 1.9 PD,2008,180000,144000,Diesel,Individual,Manual,Third Owner
Skoda Superb 1.8 TFSI MT,2010,400000,80000,Petrol,Individual,Manual,Second Owner
Skoda Octavia Elegance 2.0 TDI AT,2014,1200000,135000,Diesel,Individual,Automatic,Third Owner
Skoda Laura Ambiente 2.0 TDI CR MT,2012,385000,52000,Diesel,Dealer,Manual,First Owner
Skoda Laura Ambiente 2.0 TDI CR MT,2012,385000,52000,Diesel,Dealer,Manual,First Owner
Skoda Octavia Elegance 2.0 TDI AT,2014,1200000,135000,Diesel,Individual,Automatic,Third Owner
Skoda Fabia 1.2L Diesel Ambiente,2010,260000,150000,Diesel,Individual,Manual,First Owner
Skoda Fabia 1.2 MPI Ambition Plus,2012,300000,50000,Petrol,Individual,Manual,First Owner
Skoda Rapid 1.6 MPI Elegance,2012,350000,90000,Petrol,Individual,Manual,First Owner
Skoda Laura Ambiente 2.0 TDI CR MT,2012,385000,52000,Diesel,Dealer,Manual,First Owner
Skoda Rapid 1.6 TDI Ambition,2013,210000,120000,Diesel,Individual,Manual,Third Owner
Skoda Superb Elegance 2.0 TDI CR AT,2011,550000,73000,Diesel,Dealer,Automatic,First Owner
Skoda Rapid 1.5 TDI AT Ambition,2015,599000,46957,Diesel,Dealer,Automatic,First Owner
Skoda Fabia 1.2 TDI Active,2011,275000,60000,Diesel,Individual,Manual,Second Owner
Skoda Rapid Monte Carlo 1.6 MPI AT BSIV,2017,850000,44500,Petrol,Individual,Automatic,First Owner
Skoda Laura L n K 1.9 PD,2006,500000,75000,Diesel,Individual,Manual,Second Owner
Skoda Laura Ambiente 2.0 TDI CR MT,2012,400000,110000,Diesel,Individual,Manual,First Owner
Skoda Laura Ambiente,2008,190000,120000,Diesel,Individual,Manual,Third Owner
Skoda Superb Elegance 2.0 TDI CR AT,2009,355000,100000,Diesel,Individual,Automatic,Second Owner
Skoda Superb 1.8 TFSI MT,2010,300000,80000,Petrol,Individual,Manual,First Owner
Skoda Laura Ambiente 2.0 TDI CR AT,2012,450000,48500,Diesel,Individual,Automatic,Second Owner
Skoda Laura Elegance 2.0 TDI CR AT,2019,475000,105000,Diesel,Dealer,Automatic,First Owner
