name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,50000,Petrol,Individual,Manual,First Owner
Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,650000,70000,Diesel,Individual,Automatic,First Owner
Volkswagen Ameo 1.5 TDI Highline,2017,640000,56000,Diesel,Dealer,Manual,First Owner
Volkswagen Polo Petrol Comfortline 1.2L,2013,400000,100000,Petrol,Individual,Manual,First Owner
Volkswagen Jetta 2.0 TDI Trendline,2011,270000,180000,Diesel,Individual,Manual,Second Owner
Volkswagen Polo 1.5 TDI Highline,2015,500000,30000,Diesel,Individual,Manual,Second Owner
Volkswagen Polo Diesel Trendline 1.2L,2012,350000,77000,Diesel,Individual,Manual,First Owner
Volkswagen Vento Diesel Highline,2011,300000,65000,Diesel,Individual,Manual,Second Owner
Volkswagen Vento Diesel Highline,2011,300000,65000,Diesel,Individual,Manual,Second Owner
Volkswagen Polo GTI,2017,850000,20000,Petrol,Dealer,Automatic,Second Owner
Volkswagen Jetta 1.9 L TDI,2010,250000,100000,Diesel,Dealer,Manual,First Owner
Volkswagen Vento Petrol Highline AT,2011,269000,76259,Petrol,Dealer,Automatic,First Owner
Volkswagen Polo Diesel Highline 1.2L,2013,399000,44049,Diesel,Dealer,Manual,First Owner
Volkswagen Polo Petrol Highline 1.2L,2011,254999,54206,Petrol,Dealer,Manual,First Owner
Volkswagen Polo Petrol Highline 1.2L,2010,211000,45143,Petrol,Dealer,Manual,Second Owner
Volkswagen Polo 1.5 TDI Trendline,2011,220000,63657,Diesel,Dealer,Manual,First Owner
Volkswagen Vento Magnific 1.6 Highline,2013,380000,97248,Petrol,Dealer,Manual,First Owner
Volkswagen Jetta 2.0L TDI Highline AT,2012,735000,55300,Diesel,Dealer,Automatic,First Owner
Volkswagen Jetta 1.9 Highline TDI,2010,290000,87620,Diesel,Dealer,Automatic,First Owner
Volkswagen Vento 1.5 TDI Highline Plus AT,2017,890000,40219,Diesel,Dealer,Automatic,First Owner
Volkswagen Polo 1.0 MPI Trendline,2012,271000,49000,Petrol,Dealer,Manual,First Owner
Volkswagen Vento 1.5 TDI Comfortline,2012,390000,45454,Diesel,Dealer,Manual,First Owner
Volkswagen Polo 2015-2019 1.2 MPI Highline,2017,650000,44000,Petrol,Dealer,Manual,First Owner
Volkswagen Polo 2015-2019 1.2 MPI Highline,2017,670000,18591,Petrol,Dealer,Manual,First Owner
Volkswagen Polo Diesel Trendline 1.2L,2010,130000,144000,Diesel,Individual,Manual,Fourth & Above Owner
Volkswagen Polo Diesel Comfortline 1.2L,2012,225000,120000,Diesel,Individual,Manual,First Owner
Volkswagen Vento Diesel Style Limited Edition,2013,340000,85000,Diesel,Individual,Manual,Second Owner
Volkswagen Passat 1.8 TSI MT,2010,480000,80000,Petrol,Individual,Manual,Second Owner
Volkswagen Polo 1.5 TDI Trendline,2014,415000,81358,Diesel,Dealer,Manual,First Owner
Volkswagen Polo 1.5 TDI Comfortline,2015,450000,82695,Diesel,Dealer,Manual,First Owner
Volkswagen Vento Diesel Highline,2013,450000,120000,Diesel,Individual,Manual,Second Owner
Volkswagen Vento 1.5 TDI Highline,2015,525000,98000,Diesel,Dealer,Manual,First Owner
Volkswagen Ameo 1.5 TDI Comfortline,2018,580000,70000,Diesel,Individual,Manual,First Owner
Volkswagen Polo Diesel Comfortline 1.2L,2010,350000,110000,Diesel,Individual,Manual,Second Owner
Volkswagen Vento Diesel Highline,2011,300000,120000,Diesel,Individual,Manual,Second Owner
Volkswagen Polo 1.0 TSI Highline Plus,2020,802000,5000,Petrol,Individual,Manual,First Owner
Volkswagen Polo Diesel Highline 1.2L,2013,434999,100000,Diesel,Individual,Manual,Second Owner
Volkswagen Polo Diesel Highline 1.2L,2011,290000,60000,Diesel,Individual,Manual,Second Owner
